Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
United States,2018,World,Animal,Export,Export Product share(%),1.7571
United States,2018,World,Vegetable,Export,Export Product share(%),4.1735
United States,2018,World,Food Products,Export,Export Product share(%),2.8096
United States,2018,World,Minerals,Export,Export Product share(%),0.6238
United States,2018,World,Fuels,Export,Export Product share(%),11.5703
United States,2018,World,Chemicals,Export,Export Product share(%),10.2652
United States,2018,World,Plastic or Rubber,Export,Export Product share(%),4.8645
United States,2018,World,Hides and Skins,Export,Export Product share(%),0.2466
United States,2018,World,Wood,Export,Export Product share(%),2.456
United States,2018,World,Textiles and Clothing,Export,Export Product share(%),1.6336
United States,2018,World,Footwear,Export,Export Product share(%),0.1255
United States,2018,World,Stone and Glass,Export,Export Product share(%),4.4707
United States,2018,World,Metals,Export,Export Product share(%),4.4148
United States,2018,World,Mach and Elec,Export,Export Product share(%),22.6018
United States,2018,World,Transportation,Export,Export Product share(%),16.5802
United States,2018,World,Miscellaneous,Export,Export Product share(%),11.4069
United States,2018,World,Raw materials,Export,Export Product share(%),11.4084
United States,2018,World,Intermediate goods,Export,Export Product share(%),19.4622
United States,2018,World,Consumer goods,Export,Export Product share(%),25.9129
United States,2018,World,Capital goods,Export,Export Product share(%),32.4437
United States,2018,World,Raw materials,Import,Import Product share(%),9.7282
United States,2018,World,Intermediate goods,Import,Import Product share(%),15.3464
United States,2018,World,Consumer goods,Import,Import Product share(%),36.3132
United States,2018,World,Capital goods,Import,Import Product share(%),34.4507
United States,2018,World,Raw materials,Tariff,Weighted Average (%),0.351744893412766
United States,2018,World,Intermediate goods,Tariff,Weighted Average (%),1.05217133235648
United States,2018,World,Consumer goods,Tariff,Weighted Average (%),3.27330725916679
United States,2018,World,Capital goods,Tariff,Weighted Average (%),0.426195940220924
